UNIDADE,SUBACAO,FONTE,DESPESA,MOD LICITACAO,CREDOR,N.PROCESSO-NE,EMPENHO,DATA NE,DOCUMENT-DC,UGDC,MOD EMPENHO,BANCO,AGENCIA,CONTA,FUNÇÃO,SUBFUNÇÃO,PROGRAMA,AÇÃO,COMPLEMENTO DO EMP.,HISTORICO,Empenhado,Reforco,Anulacao,Saldo Empenho,Liquidado no Exercicio,Empenhos a Liquidar,Pagamentos do Exercicio,Liquidados a Pagar,Total a Pagar,Em Liquidacao
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,46672090000168 - INTEGRALMED DISTRIBUIDORA LTDA,0036.057702/2025-14,2025NE008697,2025-12-18,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1710,04025 CGPM Pregão Eletrônico nº 902252024 Ata nº 372055 Aquisição de Material Médico Hospitalar Grupo de Apresentação Bolsas de colostomia para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de liberação 67509642 Informação 1509 67594930,170789.0,0.0,0.0,170789.0,0.0,170789.0,0.0,0.0,170789.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,49059257000108 - J & A COMERCIO E REPRESENTAÇÕES DE PROD MÉDICO-HOSP LTDA,0036.052300/2025-23,2025NE007749,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 191 2025 PREGÃO ELETRÔNICO Nº 90009 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Equipos e linhas arteriais para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 945 0066702366,2920.0,0.0,0.0,2920.0,0.0,2920.0,0.0,0.0,2920.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,49212231000158 - JS DISTRIBUIDORA HOSPITALAR,0036.056266/2025-66,2025NE008408,2025-12-12,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM PREGÃO ELETRÔNICO Nº 903552025 ATA Nº 2312025 AQUISIÇÃO DE MATERIAIS DE CONSUMO DO GRUPO DE APRESENTAÇÃO SONDAS II MATERIAIS MÉDICOHOSPITALARESPENSO SONDA GÁSTRICA NASOGÁSTRICA CURTA Nº 04 SONDA GÁSTRICA NASOGÁSTRICA LONGA Nº 04 SONDA NASOGÁSTRICA SENGSTAKEN BLACKEMORE INFANTIL Nº 12 E OUTROS VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE ESTADO DA SAÚDE SESAU Informação 1287 0067223198,1077.0,0.0,0.0,1077.0,0.0,1077.0,0.0,0.0,1077.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,"51837171000100 - F&R HOSPITALAR IMPORTACAO, EXPORTACAO E DISTRIBUICAO LTDA",0036.056263/2025-22,2025NE008284,2025-12-11,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 903552025 Ata nº 2312025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Sondas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS  Ordem de liberação 0067181275 Informação 1286 0067222810,17840.0,0.0,0.0,17840.0,0.0,17840.0,0.0,0.0,17840.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,54134185000156 - AMARALMED COMERCIOS E SERVICOS LTDA,0036.038150/2025-45,2025NE007159,2025-11-03,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 120 2025 PREGÃO ELETRÔNICO Nº 90426 2024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Radiologia para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Autorização 0063140654 Termo de Homologação 0061527531 Ordem de Liberação 0063276033 Informação 464 0065352057,19687.5,0.0,0.0,19687.5,19687.5,0.0,0.0,19687.5,19687.5,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,54134185000156 - AMARALMED COMERCIOS E SERVICOS LTDA,0036.052075/2025-25,2025NE007743,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 186 2025PREGÃO ELETRÔNICO Nº 90232 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação cânulas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 944 0066701280,25440.0,0.0,0.0,25440.0,0.0,25440.0,0.0,0.0,25440.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,54134185000156 - AMARALMED COMERCIOS E SERVICOS LTDA,0036.056252/2025-42,2025NE008320,2025-12-12,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 903552025 Ata nº 2312025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Sondas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Ordem de liberação 0067146005 Informação 1277 0067211655,5732.0,0.0,0.0,5732.0,0.0,5732.0,0.0,0.0,5732.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,54516661008005 - JOHNSON & JOHNSON DO B.I.E C.DE P.SAUDE LTDA,0036.043896/2025-71,2025NE006508,2025-10-06,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM PREGÃO ELETRÔNICO Nº 90134 2024 ATA Nº 267 2024 Aquisição de Material Médico Hospitalar Grupo de Apresentação FIOS ABSORVÍVEIS para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Termo de Homologação SEI nº 0053219306 Informação 286 SEI nº 0065101710,386927.88,0.0,0.0,386927.88,0.0,386927.88,0.0,0.0,386927.88,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,59309302000199 - INJEX INDÚSTRIAS CIRÚRGICAS LTDA,0036.048629/2025-90,2025NE006869,2025-10-23,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM ATA Nº 40 2025 PREGÃO ELETRÔNICO Nº 90333 2024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Seringas e agulhas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS  Autorização 0065317129 Ordem de Liberação 0065602457 Informação 533 0065705870,93800.0,0.0,0.0,93800.0,93800.0,0.0,93800.0,0.0,0.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,59309302000199 - INJEX INDÚSTRIAS CIRÚRGICAS LTDA,0036.052400/2025-50,2025NE007729,2025-11-27,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 903332024 Ata nº 0402025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Seringas e agulhas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS  Ordem de liberação 0066256549 Informação 1000 0066845366,60000.0,0.0,0.0,60000.0,0.0,60000.0,0.0,0.0,60000.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,59309302000199 - INJEX INDÚSTRIAS CIRÚRGICAS LTDA,0036.056770/2025-66,2025NE008480,2025-12-16,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM PREGÃO ELETRÔNICO Nº 90333 2024 ATA Nº 40 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Seringas e agulhas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 1407 SEI nº 67456360,325000.0,0.0,0.0,325000.0,0.0,325000.0,0.0,0.0,325000.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,60105331000118 - BRAZMED DISTRIBUIDORA HOSPITALAR LTDA,0036.056260/2025-99,2025NE008344,2025-12-12,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM PREGÃO ELETRÔNICO Nº 90355 2025 ATA Nº 231 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Sondas para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 1281 SEI nº 0067217588,1966.0,0.0,0.0,1966.0,0.0,1966.0,0.0,0.0,1966.0,0.0
170012 - FES,400903,1600000001,33903036,Pregão Eletrônico - Lei n. 14.133/2021,93248979000100 - BIO MED PRODUTOS MÉDICOS E HOSPITALARES LTDA,0036.056891/2025-16,2025NE008586,2025-12-17,,170012,1 - ORDINARIO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM PREGÃO ELETRÔNICO Nº 90307 2024 ATA Nº 105 2025 Aquisição de Material Médico Hospitalar Grupo de Apresentação Nefrologia para atender as necessidades das unidades de saúde contempladas nesta Rede Estadual do Sistema SUS Informação 1406 SEI nº 67456320,161617.9,0.0,0.0,161617.9,0.0,161617.9,0.0,0.0,161617.9,0.0
170012 - FES,400903,1600000001,33903043,Dispensa de Licitação Lei 14133/2021,27229900000161 - MEDIALL BRASIL S.A,0036.013031/2025-80,2025NE003667,2025-06-30,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,302,2034,4009,1,26059HRGM CNT Nº 1412025PGESESAU  Gerenciamento da estrutura física e de pessoal bem como a execução de serviços profissionais na área médicohospitalar incluindo o fornecimento de bens e insumos necessários agamento de OPME visando assegurar o atendimento integral e contínuo à HRGM Ref Julho2025 Informação 2456 SEI nº 0061612359 Errata SEI nº 0061613362,58485.0,0.0,0.0,58485.0,0.0,58485.0,0.0,0.0,58485.0,0.0
170012 - FES,400903,1600000001,33903043,Dispensa de Licitação Lei 14133/2021,27229900000161 - MEDIALL BRASIL S.A,0036.013031/2025-80,2025NE007913,2025-12-02,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,302,2034,4009,1,26059 HRGM CTNº 1412025PGESESAU Contratação de empresa especializada para o gerenciamento da estrutura física e de pessoal bem como a execução de serviços profissionais na área médicohospitalar incluindo o fornecimento de bens e insumos necessários para o pleno funcionamento da unidade visando assegurar o atendimento integral e contínuo à população do município de GuajaráMirim e região Ref Outubro25 Informação 1108 0066968081,235240.56,0.0,0.0,235240.56,0.0,235240.56,0.0,0.0,235240.56,0.0
170012 - FES,400903,1600000001,33903043,Pregão Eletrônico,17085673000194 - NEXOMED HOSPITALAR LTDA,0036.039858/2025-13,2025NE006487,2025-10-06,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 901662024 Ata nº 2592024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Órtese Próteses e Materiais Especiais ORTOPEDIA constantes na Tabela do SUS SIGTAP sob sistema de consignação e Órtese Próteses e Materiais Especiais de BUCOMAXILO visando atender as necessidades da Secretaria de Estado da Saúde SESAU Termo de Homologação 0050459052 Ordem de liberação 0062300653 Informação 275 0065095786,1272901.8,0.0,-1272901.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170012 - FES,400903,1600000001,33903043,Pregão Eletrônico,17085673000194 - NEXOMED HOSPITALAR LTDA,0049.006432/2025-34,2025NE006695,2025-10-09,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 901662024 Ata nº 2592024 Aquisição de Material Médico Hospitalar Grupo de Apresentação Órtese Próteses e Materiais Especiais ORTOPEDIA constantes na Tabela do SUS SIGTAP sob sistema de consignação e Órtese Próteses e Materiais Especiais de BUCOMAXILO visando atender as necessidades da Secretaria de Estado da Saúde SESAU Termo de Homologação 0050459052 Ordem de liberação 0062300653 Informação 275 0065095786,1272901.8,0.0,0.0,1272901.8,0.0,1272901.8,0.0,0.0,1272901.8,0.0
170012 - FES,400903,1600000001,33903043,Pregão Eletrônico,20974766000184 - ELITE ORTOPEDIA LTDA,0036.047108/2025-15,2025NE006724,2025-10-10,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,302,2034,4009,1,04025 CGPM Pregão Eletrônico nº 8352022 Ata nº 2542024 aquisição de Material Médico Hospitalar Grupo de Apresentação Órtese Próteses e Materiais Especiais ORTOPEDIA constantes na Tabela do SUS SIGTAP sob sistema de consignação e Órtese Próteses e Materiais Especiais de BUCOMAXILO visando atender as necessidades da Secretaria de Estado da Saúde SESAU Ordem de Liberação 0065097561 Informação 388 0065259794,1203868.14,0.0,0.0,1203868.14,139357.41,1064510.73,83464.04,55893.37,1120404.1,0.0
